filename,archiveType,variableType,proxyObservationType,units,rank,interpretation/variable,interpretation/variableDetail
Asi-PAKI009.Esper.2007.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
NAm-MountWashington.Graybill.1994.lpd,tree,measured,Samplecount,count,NA,NA,NA
NAm-MountWashington.Graybill.1994.lpd,tree,measured,Segment,NA,NA,NA,NA
NAm-MountWashington.Graybill.1994.lpd,tree,measured,Ringwidth,cm,NA,NA,NA
NAm-MountWashington.Graybill.1994.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
NAm-MountWashington.Graybill.1994.lpd,tree,measured,Residual,NA,NA,NA,NA
NAm-MountWashington.Graybill.1994.lpd,tree,measured,ARS,NA,NA,NA,NA
NAm-MountWashington.Graybill.1994.lpd,tree,measured,Corrs,NA,NA,NA,NA
NAm-MountWashington.Graybill.1994.lpd,tree,measured,Rbar,NA,NA,NA,NA
NAm-MountWashington.Graybill.1994.lpd,tree,measured,SD,NA,NA,NA,NA
NAm-MountWashington.Graybill.1994.lpd,tree,measured,SE,NA,NA,NA,NA
NAm-MountWashington.Graybill.1994.lpd,tree,measured,EPS,NA,NA,NA,NA
NAm-MountWashington.Graybill.1994.lpd,tree,measured,Core,NA,NA,NA,NA
Ocn-Ifaty4.Zinke.2004.lpd,coral,measured,D18O,permil,1,T,Sea Surface
MD97-2141.Rosentha.2003.lpd,marine sediment,measured,Depth,cm,NA,NA,NA
MD97-2141.Rosentha.2003.lpd,marine sediment,measured,Depthnovoids,cm,NA,NA,NA
MD97-2141.Rosentha.2003.lpd,marine sediment,measured,D18O,per mil,2,Temperature,Sea Surface
MD97-2141.Rosentha.2003.lpd,marine sediment,measured,D18O,per mil,2,D18Osw,Sea Surface
MD97-2141.Rosentha.2003.lpd,marine sediment,measured,Mg/Ca,mmol/mol,1,Temperature,Sea Surface
Eur-SpanishPyrenees.Dorado-Linan.2012.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
Asi-JAPA019.Sano.2013.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
Asi-RUSS236.Sano.2009.lpd,tree,measured,Trsgi,NA,1,T,Air Surface
NAm-GeraldineLakes.Luckman.2001.lpd,tree,measured,Samplecount,count,NA,NA,NA
