coordinates,publication,filename,archiveType,variableType,description,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
"[-120.02, 34.23, -590]",PAGES2kv2,Ocn-SantaBarbaraBasin.Zhao.2000.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[16.72, -29.14, -97]",PAGES2kv2,Ocn-SouthAtlanticWestAfrica.Leduc.2010.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[109.869, 8.73, -1598]",PAGES2kv2,Ocn-SouthChinaSea.Zhao.2006.lpd,marine sediment,inferred,sea surface temperature,NA,Sea Surface,Temperature,degC,1
"[-75.16, -44.15, -1169]",PAGES2kv2,Ocn-SouthernChileMargin.Mohtadi.2007.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-27.91, 57.45, -2630]",PAGES2kv2,Ocn-SouthIceland.Sicre.2011.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-18.5833, 20.75, -2263]",PAGES2kv2,Ocn-SubTropicalEasternNorthAtlantic.deMenocal.2000.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[74.9993, 10.98, -1245]",PAGES2kv2,Ocn-SWCoastOfIndia.Saraswat.2013.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-9.3498, 38.556, -96]",PAGES2kv2,Ocn-TagusMudPatch.Abrantes.2005.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[133.44, -5, -2382]",PAGES2kv2,Ocn-WEqPacific.Stott.2007.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[-64.2, -64.87, -1011]",PAGES2kv2,Ocn-WesternAntarcticPeninsula.Shevenell.2011.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[6.77, 78.91, -1491]",PAGES2kv2,Ocn-WesternSvalbard.Spielhagen.2011.lpd,marine sediment,inferred,inferred sea-surface temperature,NA,Sea Surface,Temperature,degC,1
"[5.885, 78.96, -1497]",PAGES2kv2,Ocn-WestSpitzberg.Bonnet.2010.lpd,marine sediment,inferred,inferred sea-surface temperature (mean),NA,Sea Surface,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,lake sediment,inferred,inferred temperature,NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,lake sediment,inferred,"smooth: 5-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation.",NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,lake sediment,inferred,"smooth: 3-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation. Scaling",NA,Na,Temperature,degC,1
"[-70.92, -33.85, 355]",PAGES2kv2,SAm-LagunaAculeo.vonGunten.2009.lpd,lake sediment,inferred,"smooth: 3-year triangular filters were applied to account for resampling, dating uncertainties and possible bioturbation. Regression",NA,Air Surface,Temperature,degC,1
"[-70.5, -32.2667, 3050]",PAGES2kv2,SAm-LagunaChepical.deJong.2013.lpd,lake sediment,inferred,NDJF reconstructed temperature,NA,Air Surface,Temperature,degC,1
"[-70.5, -32.2667, 3050]",PAGES2kv2,SAm-LagunaChepical.deJong.2013.lpd,lake sediment,inferred,NDJF temperature scaled to 20th century mean,NA,Na,Temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,lake sediment,inferred,surface temperature anomaly Sep-Feb upper 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,lake sediment,inferred,surface temperature anomaly Sep-Feb lower 95% CI,NA,Na,uncertainty_temperature,degC,1
"[-71.8167, -45.5167, 725]",PAGES2kv2,SAm-LagunaEscondida.Elbert.2013.lpd,lake sediment,inferred,surface temperature anomaly Sep-Feb,NA,Air Surface,Temperature,degC,1
"[-4.3127, 36.2054, -1108]",Temp12k1_0_1,161_976.Martrat.2014.lpd,MarineSediment,inferred,SST_degC,NA,Sea Surface,Temperature,degC,1
"[-65.1694, 10.7061, -892.6]",Temp12k1_0_1,165_1002C.Herbert.2000.lpd,MarineSediment,inferred,SST_1_12_degC,NA,Sea Surface,Temperature,degC,1
"[172.5333, -40.9333, 1250]",Temp12k1_0_1,AdelaideTarn.Jara.2015.lpd,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[172.5333, -40.9333, 1250]",Temp12k1_0_1,AdelaideTarn.Jara.2015.lpd,LakeSediment,inferred,NA,NA,Air Surface,Temperature,degC,1
"[-73.5, 80.67, 1730]",Temp12k1_0_1,Agassiz.Lecavalier.2017.lpd,GlacierIce,inferred,2-sigma uncertainty,NA,NA,meltUncertaintyHigh,percent,NA
"[-73.5, 80.67, 1730]",Temp12k1_0_1,Agassiz.Lecavalier.2017.lpd,GlacierIce,inferred,2-sigma uncertainty,NA,NA,meltUncertaintyLow,percent,NA
"[11.1167, 48, 533]",Temp12k1_0_1,Ammersee.vonGrafenstein.1996.lpd,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[81.67, 32.75, 4427]",Temp12k1_0_1,AwengCo.Li.2017.lpd,LakeSediment,inferred,NA,NA,NA,Age,BP,NA
"[81.67, 32.75, 4427]",Temp12k1_0_1,AwengCo.Li.2017.lpd,LakeSediment,inferred,NA,NA,Air Surface,Temperature,degC,1
"[81.67, 32.75, 4427]",Temp12k1_0_1,AwengCo.Li.2017.lpd,LakeSediment,inferred,NA,NA,Na,tempErrorPlus,degC,1
"[81.67, 32.75, 4427]",Temp12k1_0_1,AwengCo.Li.2017.lpd,LakeSediment,inferred,NA,NA,NA,uncertainty.temperature,degC,NA
"[-71.96, 42.08, 214]",Temp12k1_0_1,BloodPond.Marsicek.2013.lpd,LakeSediment,inferred,NA,NA,Precipitation Surface,precipitation,mm,1
"[-51.0333, 66.9875, 170]",Temp12k1_0_1,BrayaSo.vonGunten.2012.lpd,LakeSediment,inferred,NA,NA,NA,Year,year ce,NA
"[-51.0333, 66.9875, 170]",Temp12k1_0_1,BrayaSo.vonGunten.2012.lpd,LakeSediment,inferred,NA,NA,Lake Surface,Temperature,degC,1
"[-51.0333, 66.9875, 170]",Temp12k1_0_1,BrayaSo.vonGunten.2012.lpd,LakeSediment,inferred,NA,NA,NA,uncertainty.temperature,degC,NA
"[-51.0333, 66.9875, 170]",Temp12k1_0_1,BrayaSo.vonGunten.2012.lpd,LakeSediment,inferred,NA,NA,NA,uncertainty.temperature,degC,NA
