authorName,archiveType,proxyObservationType,units,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits
Thomas A. Neumann,glacier ice,NA,m,NA,NA,NA,NA
Peter D. Neff,glacier ice,NA,m,NA,NA,NA,NA
Ailie J. E. Gallant,glacier ice,NA,m,NA,NA,NA,NA
Paul A. Mayewski,glacier ice,NA,m,NA,NA,NA,NA
Kendrick C. Taylor,glacier ice,NA,m,NA,NA,NA,NA
Georg Hoffmann,glacier ice,NA,m,NA,NA,NA,NA
Daniel A. Dixon,glacier ice,NA,m,NA,NA,NA,NA
Spruce W. Schoenemann,glacier ice,NA,m,NA,NA,NA,NA
Bradley R. Markle,glacier ice,NA,m,NA,NA,NA,NA
Tyler J. Fudge,glacier ice,NA,m,NA,NA,NA,NA
David P. Schneider,glacier ice,NA,m,NA,NA,NA,NA
Andrew J. Schauer,glacier ice,NA,m,NA,NA,NA,NA
Rebecca P. Teel,glacier ice,NA,m,NA,NA,NA,NA
Bruce H. Vaughn,glacier ice,NA,m,NA,NA,NA,NA
Landon Burgener,glacier ice,NA,m,NA,NA,NA,NA
Jessica Williams,glacier ice,NA,m,NA,NA,NA,NA
Elena Korotkikh,glacier ice,NA,m,NA,NA,NA,NA
Eric J. Steig,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Qinghua Ding,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
James W. C. White,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Marcel Küttel,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Summer B. Rupper,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Thomas A. Neumann,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Peter D. Neff,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Ailie J. E. Gallant,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Paul A. Mayewski,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Kendrick C. Taylor,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Georg Hoffmann,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Daniel A. Dixon,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Spruce W. Schoenemann,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Bradley R. Markle,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Tyler J. Fudge,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
David P. Schneider,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Andrew J. Schauer,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Rebecca P. Teel,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Bruce H. Vaughn,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Landon Burgener,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Jessica Williams,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Elena Korotkikh,glacier ice,D18O,permil,NA,Air Condensationlevel,NA,NA
Eric J. Steig,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Qinghua Ding,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
James W. C. White,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Marcel Küttel,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Summer B. Rupper,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Thomas A. Neumann,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Peter D. Neff,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Ailie J. E. Gallant,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Paul A. Mayewski,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Kendrick C. Taylor,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
Georg Hoffmann,glacier ice,Dd,permil,NA,Air Condensationlevel,NA,NA
