publication,filename,archiveType,variableType,interpretation/variable,interpretation/variableDetail,inferredVariable,inferredVarUnits,rank
Temp12k1_0_1,HjortSo.Wagner.2008.lpd,LakeSediment,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,HM03_133_25.Solignac.2008.lpd,MarineSediment,inferred,Temperature,Sea Surface,temperatureComposite,degC,1
Temp12k1_0_1,Honeymoon.Cwynar.1991.lpd,LakeSediment,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,HurlegLake.Zhao.2013.lpd,LakeSediment,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,JamesRossIsland.Mulvaney.2012.lpd,GlacierIce,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Peat,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Peat,inferred,NA,NA,ageMin,BP,NA
Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Peat,inferred,NA,NA,ageDuplicate,BP,NA
Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Peat,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Peat,inferred,NA,NA,uncertaintyHigh,degC,NA
Temp12k1_0_1,JinchueanBog.Yu.2013.lpd,Peat,inferred,NA,NA,uncertaintyLow,degC,NA
Temp12k1_0_1,JPC67.Bertrand.2017.lpd,MarineSediment,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,JPC67.Bertrand.2017.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,KinderlinskayaCave.Baker.2017.lpd,Speleothem,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,Komosomolskaia.Ciais.1992.lpd,GlacierIce,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,Komosomolskaia.Ciais.1992.lpd,GlacierIce,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,KT05_7_PC_02.Kawahata.2009.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,KZAI_01.Hardy.2018.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,LakeoftheWoods.Palmer.2002.lpd,LakeSediment,inferred,NA,NA,Age,BP,NA
Temp12k1_0_1,LaPAS_KF02.Pivel.2013.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,LaPAS_KF02.Pivel.2013.lpd,MarineSediment,inferred,NA,NA,uncertainty.temperature,degC,NA
Temp12k1_0_1,Lily.Cwynar.1990.lpd,LakeSediment,inferred,Temperature,Air Surface,Temperature,degC,1
Temp12k1_0_1,M35003_4.R_hlemann.1999.lpd,MarineSediment,inferred,Temperature,NA,Temperature,degC,1
Temp12k1_0_1,M75_3_137_3.Wang.2013.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,M77_2_056_5.Neurnberg.2015.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,M77_2_056_5.Neurnberg.2015.lpd,MarineSediment,inferred,Temperature,NA,Temperature,degC,1
Temp12k1_0_1,M77_2_059_1.N_rnberg.2015.lpd,MarineSediment,inferred,Temperature,Sea Surface,Temperature,degC,1
Temp12k1_0_1,M77_2_059_1.N_rnberg.2015.lpd,MarineSediment,inferred,Temperature,NA,Temperature,degC,1
